holder_u_id,holder_v_id,jointly_granted_patents,jointly_filed_patents,jointly_granted_patents_per_ipc,jointly_filed_patents_per_ipc
213,1752,1,1,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1758,1759,1,1,"[1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1806,1807,2,2,"[0, 1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1075,1808,1,1,"[0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
213,959,2,5,"[0, 2, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0]"
205,1640,15,23,"[12, 0, 5, 0, 0, 0, 1, 0]","[5, 0, 3, 0, 0, 0, 2, 0]"
1867,1868,46,67,"[1, 1, 44, 0, 0, 8, 0, 0]","[1, 8, 18, 0, 0, 0, 0, 2]"
1881,1882,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1891,1892,55,65,"[0, 1, 13, 0, 0, 55, 0, 0]","[0, 1, 1, 1, 0, 1, 0, 0]"
246,1901,2,2,"[0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1914,1915,10,10,"[0, 9, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1918,1919,1,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1438,1924,1,1,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
221,1928,1,1,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
221,1924,4,4,"[1, 1, 0, 0, 0, 0, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
1931,1932,1,1,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
205,1935,1,1,"[1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
205,1936,1,2,"[1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]"
